Make,Model,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Price
Honda,City VX CVT Petrol [2017-2019],2017,29386,Petrol,Automatic,Bangalore,Silver,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,1050000
Hyundai,Grand i10 Asta 1.2 Kappa VTVT [2013-2016],2021,18105,Petrol,Manual,Bangalore,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43,765000
Maruti Suzuki,S-Cross Sigma 1.3,2017,125372,Diesel,Manual,Coimbatore,Brown,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4300,1765,1590,5,48,675000
Audi,A6 35 TDI Matrix,2015,100000,Diesel,Automatic,Jaipur,Blue,First,Individual,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,FWD,4933,1874,1455,5,75,2400000
Maruti Suzuki,Eeco 7 STR [2019-2020],2019,40000,Petrol,Manual,Thane,Silver,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675,1475,1800,7,40,509999
Mahindra,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2022,31000,Diesel,Automatic,Jaipur,Black,First,Individual,2184 cc,182 bhp @ 3500 rpm,450 Nm @ 1750 rpm,AWD,4695,1890,1755,7,60,2750000
Audi,A7 Sportback 3.0 TDI quattro,2012,42000,Diesel,Automatic,Lucknow,White,First,Individual,2967 cc,241 bhp @ 4000 rpm,500 Nm @ 1400 rpm,AWD,4969,2139,1420,5,65,2600000
Honda,City 1.5 V AT,2012,65001,Petrol,Automatic,Pune,Red,First,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42,495000
Audi,Q7 35 TDI Premium + Sunroof,2014,42533,Diesel,Automatic,Mumbai,Blue,First,Individual,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD,5089,1983,1737,7,100,2400000
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],2018,45000,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765,1660,1520,5,43,495000
Land Rover,Discovery Sport HSE 7-Seater,2018,36000,Diesel,Automatic,Raipur,White,Second,Individual,2179 cc,148 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4600,2069,1724,7,65,4200000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2017,44000,Diesel,Automatic,Delhi,Black,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80,2550000
Maruti Suzuki,Swift DZire LDI,2016,85000,Diesel,Manual,Lucknow,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42,480000
Hyundai,Creta 1.6 SX (O),2021,17000,Diesel,Manual,Kanpur,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,FWD,4270,1780,1630,5,60,1750000
Maruti Suzuki,Ertiga ZDI + SHVS,2019,72000,Diesel,Manual,Lucknow,Silver,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,4296,1695,1685,7,45,850000
Hyundai,Santro Sportz AMT [2018-2020],2019,34400,Petrol,Automatic,Ranchi,Silver,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610,1645,1560,5,35,434999
Hyundai,Venue SX (O) 1.0 Turbo iMT,2021,8800,Petrol,Manual,Delhi,White,First,Individual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,FWD,3995,1770,1605,5,45,1070000
Honda,City ZX CVT Petrol,2022,2000,Petrol,Automatic,Delhi,Grey,First,Individual,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549,1748,1489,5,40,1530000
Hyundai,Creta SX 1.5 Diesel [2020-2022],2020,19700,Diesel,Manual,Mumbai,Maroon,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300,1790,1635,5,50,1598000
Hyundai,Verna 1.6 VTVT SX,2016,45000,Petrol,Manual,Delhi,White,First,Individual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4375,1700,1475,5,43,645000
Mercedes-Benz,C-Class 220 CDI Sport,2012,73000,Diesel,Automatic,Kanpur,White,First,Individual,,,,,,,,,,1100000
Maruti Suzuki,Swift DZire ZDI AMT,2017,76000,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42,650000
Volkswagen,Vento Highline Diesel,2013,110000,Diesel,Manual,Bangalore,Silver,First,Individual,1598 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,FWD,4384,1699,1466,5,55,545000
Honda,City V Petrol,2022,2700,Petrol,Manual,Delhi,Silver,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,1095000
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2018,75000,Diesel,Automatic,Ahmedabad,Grey,First,Individual,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,4735,1830,1795,7,55,1975000
Rolls-Royce,Ghost 6.5,2011,60000,Petrol,Automatic,Mumbai,Maroon,Second,Corporate,6592 cc,570 bhp @ 5250 rpm,780 Nm @ 1500 rpm,RWD,5399,1948,1550,5,82.5,18000000
Audi,Q3 35 TDI Technology with Navigation,2017,110000,Diesel,Automatic,Mumbai,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64,1839000
Skoda,Superb L&K TSI AT,2016,70000,Petrol,Automatic,Raipur,White,Second,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4861,1864,1483,5,66,1500000
Audi,Q3 35 TDI quattro Premium Plus,2017,42000,Diesel,Automatic,Gurgaon,Silver,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64,2100000
Volkswagen,Polo Comfortline 1.5L (D),2015,70000,Diesel,Manual,Faridabad,Red,First,Individual,1498 cc,89 bhp @ 4200 rpm,230 Nm @ 1500 rpm,FWD,3971,1682,1469,5,45,345000
Honda,City V,2018,52890,Petrol,Manual,Gurgaon,Silver,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,850000
Hyundai,Creta SX 1.6 AT CRDi,2018,72870,Diesel,Automatic,Mumbai,White,First,Corporate,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270,1780,1665,5,55,1425000
Hyundai,Elite i20 Asta 1.2,2017,48591,Petrol,Manual,Hyderabad,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45,675000
Mahindra,XUV300 1.5 W6 [2019-2020],2019,60888,Diesel,Manual,Jalandhar,Silver,First,Individual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,FWD,3995,1821,1627,5,42,925000
Hyundai,Eon Era +,2014,48000,Petrol,Manual,Lucknow,Red,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495,1550,1500,5,32,210000
Tata,Nexon XM,2018,20251,Petrol,Manual,Pune,Grey,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994,1811,1607,5,44,760000
Hyundai,Verna 1.6 CRDI SX,2015,49000,Diesel,Manual,Mumbai,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375,1700,1475,5,43,640000
Maruti Suzuki,Swift VXi,2013,66000,Petrol,Manual,Meerut,White,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42,340000
Land Rover,Discovery Sport SE R-Dynamic,2020,54200,Diesel,Automatic,Indore,White,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4600,2069,1724,7,70,5995000
Nissan,Teana 250XL,2013,33000,Petrol,Automatic,Pune,Red,First,Individual,,,,,,,,,,550000
Honda,City S Petrol,2017,51292,Petrol,Manual,Thane,White,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,695000
Ford,Figo Trend 1.5L TDCi [2015-2016],2015,89000,Diesel,Manual,Jaipur,Orange,Second,Individual,1498 cc,99 bhp @ 3750 rpm,215 Nm @ 1750 rpm,FWD,3886,1695,1525,5,40,465000
Toyota,Glanza V,2019,55000,Petrol,Manual,Jaipur,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1745,1510,5,37,735000
Mercedes-Benz,E-Class E 200 Avantgarde,1988,71000,Petrol,Automatic,Dehradun,Red,Third,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,5063,1860,1494,5,80,1300000
Hyundai,Alcazar Prestige 7 STR 1.5 Diesel,2021,20000,Diesel,Manual,Karnal,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4500,1790,1675,7,50,1848999
Honda,City V,2016,68500,Petrol,Manual,Ahmedabad,Bronze,First,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440,1695,1495,5,40,685000
Hyundai,Santa Fe 2WD AT [2014-2017],2014,99000,Diesel,Automatic,Delhi,White,First,Corporate,2199 cc,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,4690,1880,1690,7,64,875000
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],2018,110000,Diesel,Automatic,Delhi,Bronze,First,Corporate,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,4735,1830,1795,7,55,2039999
Toyota,Glanza G,2019,19244,Petrol,Manual,Zirakpur,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1745,1510,5,37,700000
Maruti Suzuki,Wagon R VXi 1.2,2020,19000,Petrol,Manual,Varanasi,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3655,1620,1675,5,32,550000
Hyundai,Santa Fe 2WD AT [2014-2017],2015,75000,Diesel,Automatic,Delhi,Silver,Second,Individual,2199 cc,194 bhp @ 3800 rpm,437 Nm @ 1800 rpm,AWD,4690,1880,1690,7,64,825000
Toyota,Innova 2.4 ZX 7 STR [2016-2020],2021,29000,Diesel,Manual,Bangalore,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735,1830,1795,7,55,3100000
Audi,A6 2.0 TDI Premium,2013,60000,Diesel,Automatic,Pune,Grey,Second,Individual,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,FWD,4915,1874,1455,5,65,1400000
Maruti Suzuki,Swift VXi,2015,80000,Petrol,Manual,Noida,White,Second,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850,1695,1530,5,42,425000
Lexus,NX 300h Luxury [2017-2020],2018,54500,Petrol,Automatic,Delhi,Black,Second,Individual,2494 cc,194 bhp @ 5700 rpm,210 Nm @ 4200 rpm,AWD,4640,1845,1645,5,56,4375000
Toyota,Innova ZX 2.4 AT 7 STR,2021,38000,Diesel,Automatic,Mumbai,Purple,First,Individual,2393 cc,148 bhp @ 3400 rpm,360 Nm @ 1400 rpm,RWD,4735,1830,1795,7,55,3000000
Mercedes-Benz,GLC 200 Progressive,2021,16785,Petrol,Automatic,Bangalore,White,First,Individual,1991 cc,194 bhp @ 5500 rpm,320 Nm @ 1650 rpm,RWD,4658,1890,1644,5,66,6600000
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],2016,52000,Diesel,Manual,Delhi,Blue,Second,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48,640000
Hyundai,Santro GL (CNG),2013,76000,CNG,Manual,Delhi,White,First,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565,1525,1590,5,35,275000
Hyundai,Elite i20 Sportz 1.2 [2016-2017],2019,42678,Petrol,Manual,Mumbai,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45,695000
Honda,City 1.5 V AT,2010,95000,Petrol,Automatic,Gurgaon,Grey,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420,1695,1480,5,42,245000
Renault,Duster 110 PS RxL,2016,65000,Diesel,Manual,Delhi,Grey,Second,Individual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,FWD,4315,1822,1695,5,50,690000
Volkswagen,Taigun Highline 1.0 TSI AT,2021,31000,Petrol,Automatic,Hyderabad,Silver,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4221,1760,1612,5,50,1500000
Maruti Suzuki,Alto VXi,2014,82682,Petrol,Manual,Pune,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620,1475,1460,5,35,270000
Hyundai,i20 Active 1.4 S,2016,70500,Diesel,Manual,Jamshedpur,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995,1760,1555,5,45,545000
MG,Hector Plus Sharp 1.5 DCT Petrol,2021,10000,Petrol,Automatic,Faridabad,Red,First,Individual,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,FWD,4720,1835,1760,6,60,1875000
Renault,Kwid RXT [2015-2019],2016,57159,Petrol,Manual,Varanasi,Silver,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679,1579,1478,5,28,254999
BMW,3-Series 320d Sport Line [2014-2016],2014,82000,Diesel,Automatic,Mohali,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4624,2031,1429,5,,2000000
Land Rover,Discovery HSE,2016,120000,Diesel,Automatic,Delhi,Blue,First,Individual,2993 cc,245 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,4838,1915,1837,7,82,2785000
Mahindra,Thar LX 4-STR Hard Top Diesel MT,2021,17000,Diesel,Manual,Pune,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985,1820,1844,4,57,1800000
Honda,City 1.5 V AT,2012,40000,Petrol,Automatic,Pune,Red,Second,Individual,1497 cc,116 bhp @ 6600 rpm,146 Nm @ 4800 rpm,FWD,4440,1695,1485,5,42,475000
Hyundai,Elite i20 Sportz 1.2 (O),2020,58100,Petrol,Manual,Lucknow,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45,650000
Toyota,Fortuner 3.0 4x4 MT,2012,12749,Diesel,Manual,Kolkata,Grey,First,Individual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,AWD,4705,1840,1850,7,80,1199000
Hyundai,Santa Fe 4 WD (AT),2013,83466,Diesel,Automatic,Jaipur,White,First,Individual,2199 cc,195 bhp @ 4000 rpm,436 Nm @ 1800 rpm,AWD,4660,1890,1760,7,70,650000
Mahindra,Scorpio S2,2015,86000,Diesel,Manual,Purnea,White,Second,Individual,2523 cc,75 bhp @ 3200 rpm,200 Nm @ 1400 rpm,RWD,4456,1820,1930,8,60,795000
Mercedes-Benz,C-Class C 200 Avantgarde,2015,60921,Petrol,Automatic,Pune,Black,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4686,1810,1442,5,66,2385000
Audi,Q5 2.0 TDI quattro Premium,2014,78000,Diesel,Automatic,Ahmedabad,Brown,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4629,1898,1653,5,75,1700000
Hyundai,Verna Fluidic 1.6 VTVT SX Opt,2012,53000,Petrol,Manual,Mumbai,Grey,First,Corporate,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,FWD,4370,1700,1475,5,43,380000
Renault,Kwid 1.0 RXT [2016-2019],2016,34736,Petrol,Manual,Hyderabad,Red,First,Individual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,FWD,3679,1579,1478,5,28,295000
Tata,Harrier XZ,2020,14400,Diesel,Manual,Ahmedabad,Silver,First,Individual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4598,1894,1706,5,50,1750000
Mahindra,Thar CRDe 4x4 Non AC,2015,85000,Diesel,Manual,Ambala Cantt,Green,Second,Individual,2498 cc,105@3800,247@1800,AWD,3920,1710,1930,7,60,525000
Volkswagen,Vento Highline Petrol,2011,80000,Petrol,Manual,Delhi,White,Second,Individual,,,,,,,,,,275000
Audi,A3 35 TFSI Premium Plus,2018,77590,Petrol,Automatic,Delhi,Blue,First,Individual,1395 cc,148 bhp @ 5000 rpm,250 Nm @ 1500 rpm,FWD,4456,1796,1416,5,50,2180000
Ford,Mustang GT Fastback 5.0L v8,2017,25000,Petrol,Automatic,Chennai,Black,Third,Individual,4951 cc,396 bhp @ 6500 rpm,515 Nm @ 4250 rpm,RWD,4784,2080,1391,4,60.9,8000000
Jaguar,F-Pace Prestige,2018,40545,Diesel,Automatic,Ahmedabad,Grey,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4731,2071,1651,5,82,4325000
Maruti Suzuki,Ritz Vdi BS-IV,2009,80000,Diesel,Manual,Kanpur,Silver,4 or More,Individual,1248 cc,75@4000,190@2000,,3715,1680,1620,5,43,120000
Maruti Suzuki,Alto LXi CNG,2009,56852,CNG,Manual,Kanpur,Gold,Second,Individual,796 cc,39 bhp @ 6200 rpm,54 Nm @ 3000 rpm,FWD,3495,1475,1460,5,35,155000
Maruti Suzuki,DZire ZXi Plus AMT,2018,42000,Petrol,Automatic,Mumbai,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1735,1515,5,37,735000
Skoda,Rapid Style 1.6 MPI AT,2018,55000,Petrol,Automatic,Pune,Grey,Second,Individual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,FWD,4413,1699,1466,5,55,900000
Skoda,Superb Elegance 1.8 TSI AT,2014,53000,Petrol,Automatic,Delhi,White,Second,Individual,1798 cc,158 bhp @ 4500 rpm,250 Nm @ 1500 rpm,FWD,4838,1817,1482,5,60,795000
MINI,Cooper D 3 Door,2018,17000,Diesel,Automatic,Delhi,Green,First,Individual,1496 cc,114 bhp @ 4000 rpm,270 Nm @ 1750 rpm,FWD,3821,1727,1414,5,44,3300000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2020,50000,Diesel,Automatic,Mumbai,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80,3775000
Mahindra,Xylo D4,2012,70000,Diesel,Manual,Patna,White,Third,Individual,2489 cc,95@3600,220@1400,,4520,1850,1895,8,55,325000
Maruti Suzuki,Vitara Brezza VDi,2017,75793,Diesel,Manual,Navi Mumbai,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48,725000
Lexus,LX SUV Petrol,2007,34000,Petrol,Automatic,Mumbai,Maroon,Second,Corporate,,,,,,,,,,2100000
Volvo,S60 Kinetic D4,2012,89311,Diesel,Automatic,Hyderabad,White,First,Individual,1984 cc,165 bhp @ 3500 rpm,400 Nm @ 2750 rpm,FWD,4635,1865,1484,5,67.5,994999
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],2018,80000,Diesel,Manual,Mohali,Grey,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48,785000
Porsche,Macan S [2019-2020],2020,38000,Petrol,Automatic,Ahmedabad,Blue,First,Individual,2995 cc,349 bhp @ 5400 rpm,480 Nm @ 1360 rpm,AWD,4696,1923,1624,5,65,7500000
Toyota,Fortuner 2.8 4x2 AT [2016-2020],2019,69500,Diesel,Automatic,Delhi,White,Second,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795,1855,1835,7,80,2799000
Maruti Suzuki,Wagon R VXI,2018,66794,Petrol,Manual,Kolkata,Others,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,390000
Porsche,Macan Base [2019-2020],2019,27000,Petrol,Automatic,Hyderabad,Red,First,Corporate,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,4696,1923,1624,5,65,9000000
Maruti Suzuki,Baleno Zeta 1.2 AT,2017,35616,Petrol,Automatic,Pune,Blue,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,675000
Maruti Suzuki,Eeco 5 STR [2014-2019],2015,64000,Petrol,Manual,Ranchi,Blue,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675,1475,1800,5,40,320000
Maruti Suzuki,Baleno Zeta 1.2 AT,2020,7000,Petrol,Automatic,Chennai,Maroon,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,840000
Maruti Suzuki,Wagon R VXI,2015,45000,Petrol,Manual,Ranchi,Brown,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,310000
Maruti Suzuki,Ertiga LXI,2017,9000,Petrol,Manual,Delhi,Grey,First,Individual,1373 cc,94 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4296,1695,1685,7,45,795000
Maruti Suzuki,Wagon R LXI CNG,2015,67738,CNG,Manual,Delhi,White,Second,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599,1495,1700,5,35,310000
Toyota,Glanza G,2021,11030,Petrol,Manual,Bangalore,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995,1745,1510,5,37,860000
Hyundai,i10 Magna 1.2 Kappa2,2015,49123,Petrol,Manual,Patna,White,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585,1595,1550,5,35,390000
BMW,3-Series 320d Highline Sedan,2012,125000,Diesel,Automatic,Ahmedabad,White,First,Individual,,,,,,,,,,1200000
Maruti Suzuki,Swift DZire LDI,2018,46000,Diesel,Manual,Bhubaneswar,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995,1695,1555,5,42,520000
Mercedes-Benz,S-Class 280 AT,2000,65000,Petrol,Automatic,Dehradun,Yellow,Second,Individual,,,,,,,,,,1200000
Maruti Suzuki,Vitara Brezza VDi (O) [2016-2018],2018,64000,Diesel,Manual,Lucknow,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995,1790,1640,5,48,675000
Maruti Suzuki,S-Presso VXi,2021,7942,Petrol,Manual,Thane,Red,First,Individual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,FWD,3565,1520,1564,5,27,475000
Maruti Suzuki,Alto 800 Lxi,2017,52100,Petrol,Manual,Lucknow,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395,1490,1475,5,35,265000
Skoda,Rapid Ambition 1.6 TDI CR MT,2019,32809,Diesel,Manual,Coimbatore,Silver,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386,1699,1466,5,55,950000
Toyota,Fortuner 3.0 4x2 AT,2014,101000,Diesel,Automatic,Jalandhar,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705,1840,1850,7,80,1750000
Audi,A3 35 TDI Premium Plus + Sunroof,2016,40500,Diesel,Automatic,Mumbai,White,First,Individual,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,FWD,4456,1796,1416,5,50,2225000
Jeep,Compass Sport 1.4 Petrol,2021,25700,Petrol,Manual,Karnal,Black,First,Corporate,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395,1818,1640,5,60,1748999
Mercedes-Benz,M-Class ML 250 CDI,2014,85000,Diesel,Automatic,Delhi,White,Second,Individual,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,AWD,4804,2141,1796,5,70,2250000
Hyundai,Elite i20 Asta 1.2 (O) [2016],2017,17268,Petrol,Manual,Nashik,Red,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985,1734,1505,5,45,690000
Maruti Suzuki,Baleno Zeta 1.2,2017,68000,Petrol,Manual,Noida,Brown,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1745,1500,5,37,561000
Hyundai,i20 Asta 1.2,2011,30000,Petrol,Manual,Panvel,Blue,Third,Individual,,,,,,,,,,299000
Jeep,Compass Longitude (O) 2.0 Diesel [2017-2020],2020,57000,Diesel,Manual,Pune,White,First,Individual,,,,,4395,1818,1640,5,60,1580000
Maruti Suzuki,Swift DZire VXI AT,2017,44100,Petrol,Automatic,Mumbai,Silver,First,Corporate,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995,1695,1555,5,42,595000
Land Rover,Discovery 3.0 TDV6 HSE,2013,91840,Diesel,Automatic,Mumbai,Blue,Second,Individual,,,,,,,,,,4390000
Hyundai,i20 Asta 1.2,2009,115000,Petrol,Manual,Coimbatore,Blue,Third,Individual,1197 cc,80@5200,112@4000,,3940,1710,1505,5,45,235000
Hyundai,i20 Magna (O) 1.2,2014,23000,Petrol,Manual,Ahmedabad,Brown,First,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995,1710,1505,5,45,450000
BMW,5-Series 520d Modern Line,2014,58000,Diesel,Automatic,Mumbai,White,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899,2094,1464,5,,2299000
Mercedes-Benz,GLE 250 d,2018,95786,Diesel,Automatic,Delhi,Black,First,Individual,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,AWD,4819,2141,1796,5,93,4590000
Audi,Q3 35 TDI Technology,2016,95401,Diesel,Automatic,Bangalore,Black,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385,1831,1608,5,64,2150000
Kia,Seltos GTX Plus 1.4 DCT,2020,7000,Petrol,Automatic,Bangalore,Black,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4315,1800,1645,5,50,1850000
